R,P,S,T,Promise,Cooperator,Defector,Alternator,TitForTat,TwoTitsForTat,Grudger
3,1,0,5,True,0.16576,0.0,0.0,0.26105,0.28659,0.28659
3,2,0,5,True,0.0625,0.0,0.0,0.27184,0.33283,0.33283
3,2,1,5,True,0.09784,0.0,0.0,0.26874,0.31671,0.31671
4,1,0,5,True,0.20898,0.0,0.0,0.25342,0.2688,0.2688
4,2,0,5,True,0.15687,0.0,0.0,0.25759,0.29277,0.29277
4,2,1,5,True,0.19006,0.0,0.0,0.25519,0.27738,0.27738
4,3,0,5,True,0.06039,0.0,0.0,0.27197,0.33382,0.33382
4,3,1,5,True,0.09301,0.0,0.0,0.26652,0.32023,0.32023
4,3,2,5,True,0.13921,0.0,0.0,0.26086,0.29997,0.29997
3,1,0,6,True,0.13993,0.0,0.0,0.26698,0.29655,0.29655
3,2,0,6,True,0.04087,0.0,0.0,0.27429,0.34242,0.34242
3,2,1,6,True,0.06352,0.0,0.0,0.27379,0.33135,0.33135
4,1,0,6,True,0.1937,0.0,0.0,0.25739,0.27446,0.27446
4,2,0,6,True,0.13619,0.0,0.0,0.2619,0.30096,0.30096
4,2,1,6,True,0.16683,0.0,0.0,0.26065,0.28626,0.28626
4,3,0,6,True,0.04052,0.0,0.0,0.2748,0.34234,0.34234
4,3,1,6,True,0.06468,0.0,0.0,0.27118,0.33207,0.33207
4,3,2,6,True,0.09911,0.0,0.0,0.2683,0.3163,0.3163
5,1,0,6,True,0.21905,0.0,0.0,0.25247,0.26424,0.26424
5,2,0,6,True,0.18489,0.0,0.0,0.25433,0.28039,0.28039
5,2,1,6,True,0.20929,0.0,0.0,0.2533,0.26871,0.26871
5,3,0,6,True,0.12972,0.0,0.0,0.2608,0.30474,0.30474
5,3,1,6,True,0.1579,0.0,0.0,0.25724,0.29243,0.29243
5,3,2,6,True,0.19041,0.0,0.0,0.25506,0.27727,0.27727
5,4,0,6,True,0.0399,0.0,0.0,0.27543,0.34234,0.34234
5,4,1,6,True,0.06198,0.0,0.0,0.27153,0.33325,0.33325
